host_id,title,description,address,lat,lng,bathroom_count,bed_count,bedroom_count,header_count_capacity,cleaning_fee,daily_price,lodging_tax_ratio,sale_ratio,service_fee,rating_star_score,review_count
212,㈜블랙스톤리조트 양평지점 더 힐하우스(힐하우스),SaddleBrownBeth Thomas,경기도 양평군 강하면 강남로 489,127.4382031674,127.4382031674,1,1,5,8,4200,262700,10,6,3200,4.14,348
38,샾모텔,Decide wall pattern. House case build star pay. Firm fast heart always one program center.,충청남도 태안군 소원면 서해로 20-6,126.1428100177,126.1428100177,2,1,1,3,1500,862600,10,10,3100,1.34,78
28,가가펜션,"Ever listen ability official in voice. Detail site speech someone first.
Pull tend difficult month future total sell remember. Experience maybe recent drop.",경기도 양평군 서종면 풀무길 31,127.3943459429,127.3943459429,1,2,4,2,2200,672200,10,10,3100,4.57,237
36,가경재 [한국관광 품질인증/Korea Quality],"Teach professor last build. Specific too none miss church approach.
Necessary laugh sit keep. Interview develop size reason religious.",경상북도 안동시 풍천면 하회남촌길 69-5,128.5178062368,128.5178062368,3,1,3,8,5300,4800,10,3,4900,2.16,471
447,가락관광호텔,"Wish plant job medical say late. How several use several style early. Concern may four student.
Space work determine next consumer.",서울특별시 송파구 송파대로28길 5,127.1166298703,127.1166298703,2,3,1,3,7100,362500,10,4,900,4.08,317
56,가락청,Within that north leave ever. Design together too fact customer four every. Into any staff respond believe response air.,전라북도 전주시 완산구 한지길 68,127.1535667664,127.1535667664,1,1,4,2,3800,401000,10,9,1900,4.44,338
343,가람나무,"Local example new hundred. Rock stuff rule third candidate two serve. Box agreement hotel sure company Republican middle.
Recently author plan green thousand keep. Piece eat keep.",경기도 파주시 소라지로327번길 126-21,126.6891949040,126.6891949040,2,1,1,4,2100,872400,10,2,2800,3.66,407
286,가람초연재[한국관광 품질인증/Korea Quality],Measure majority claim ago case. Same serve walk statement right. Spring move food behind throughout mouth stuff.,경상북도 안동시 풍천면 하회종가길 76-6,128.5163479914,128.5163479914,1,1,2,6,4700,444200,10,5,3000,2.28,238
351,가름게스트하우스,"Though air blood shoulder ever strong fall both. Actually yeah join gas. Huge loss through sell.
Hot arrive stock drug. Budget somebody college perform mind break view personal.",제주특별자치도 서귀포시 법환하로9번길 10,126.5123383804,126.5123383804,2,2,5,5,1800,553200,10,5,900,2.79,153
122,가리벨리 관광펜션(가리벨리관광펜션휴양타운),Party number improve whether degree level under street. Almost result evening large. Within recently late relate cold.,강원도 인제군 인제읍 대목리길 137,128.3383767680,128.3383767680,2,3,5,4,2900,710900,10,6,1900,3.7,44
199,가리왕산이야기 펜션,Per writer season event mission. Dinner impact huge good finally where pay. Interest station fire professional.,강원도 정선군 정선읍 청량길 32,128.5773915547,128.5773915547,1,2,1,8,9700,419900,10,9,4000,1.9,191
251,가바나모텔,"Again become nor defense. Chance appear nice space former interesting.
Message protect listen. Personal question military. Daughter news with child share recognize be factor.",경기도 구리시 안골로 70,127.1388777598,127.1388777598,1,3,3,8,6600,215100,10,9,4400,2.19,417
488,가보호텔,"Quality serious stock worry less account final. Ever present whose.
None third certainly worry each. Million and card. Go all really general right a few describe.",경기도 평택시 평택5로76번길 18-10,127.1128582139,127.1128582139,1,1,1,6,5900,138300,10,5,4200,3.97,469
124,가시버시펜션,"Early provide red sing pick anyone. Could carry soon sense consider director. Spring tough nature sit perform.
Congress send memory third. Attention he modern.",경기도 양평군 용문면 용문산로 337,127.6019460659,127.6019460659,1,2,1,2,1400,226100,10,8,5000,1.19,84
267,가야호텔,"Such dinner history rest camera. Physical also avoid for important above morning. True serve parent growth.
Forward worry nature fill street. Activity must officer several my there. Lot tax night.",경상북도 성주군 수륜면 가야산식물원길 52,128.1426627919,128.1426627919,1,3,5,4,2500,916800,10,5,1300,3.12,191
247,가영당 [한국관광 품질인증/Korea Quality],"Food should every bag increase whatever. Same experience debate. Soon leave heavy.
Month about network within. Get instead agent town cell.
Scientist occur prepare. Learn middle police store set.",충청북도 청주시 청원구 오창읍 미래지로 71-54,127.4055417589,127.4055417589,3,3,4,5,4000,324100,10,9,2200,4.28,88
408,가은채 [한국관광 품질인증/Korea Quality],"Modern candidate hit green base party near. It girl admit benefit.
Up matter should.
Eat maintain future since catch. Spring charge dark take. Rule indeed lot professor.",전라북도 전주시 완산구 한지길 68-13,127.1532917977,127.1532917977,1,3,5,9,7600,734300,10,7,4100,2.9,252
